0 1,0 2,0 3,0 4,0 5,1 1,1 2,1 3,1 4,1 5,2 1,2 2,2 3,2 4,2 5,3 1,3 2,3 3,3 4,3 5,4 1,4 2,4 3,4 4,4 5,5 1,5 2,5 3,5 4,5 5,6 1,6 2,6 3,6 4,6 5,7 1,7 2,7 3,7 4,7 5,8 1,8 2,8 3,8 4,8 5,9 1,9 2,9 3,9 4,9 5
0.03317,0.01611,0.01832,0.01769,0.04392,0.01359,0.01675,0.01201,0.01548,0.01674,0.01517,0.01832,0.01232,0.00411,0.05087,0.0158,0.0218,0.01517,0.02686,0.01611,0.00979,0.0079,0.05592,0.01517,0.01169,0.0455,0.00284,0.04329,0.02275,0.04866,0.01137,0.00379,0.06193,0.02559,0.05782,0.08088,0.03444,0.01485,0.01769,0.02054,0.09226,0.04076,0.09889,0.04929,0.08025,0.11216,0.04329,0.09005,0.03318,0.02496
0.03823,0.01738,0.01927,0.01927,0.04423,0.00948,0.01485,0.01327,0.01611,0.01738,0.01643,0.02243,0.01422,0.00442,0.05434,0.01422,0.01706,0.01517,0.02054,0.01706,0.01327,0.00758,0.05434,0.01327,0.01295,0.04013,0.00221,0.0417,0.02306,0.04676,0.01422,0.00348,0.06982,0.03033,0.06603,0.08847,0.04076,0.01453,0.01738,0.02022,0.08941,0.0436,0.10332,0.04581,0.08689,0.10679,0.04329,0.09036,0.03159,0.02559
0.04265,0.01991,0.02085,0.01959,0.04518,0.01106,0.01927,0.01106,0.01422,0.01422,0.01295,0.02243,0.0139,0.00664,0.05182,0.01643,0.01706,0.0139,0.02054,0.01706,0.01043,0.00727,0.05434,0.01043,0.01232,0.03949,0.00316,0.04518,0.02306,0.05213,0.01548,0.00474,0.06319,0.02812,0.06382,0.08057,0.0376,0.01264,0.01959,0.01706,0.097,0.0455,0.09952,0.04487,0.08562,0.11027,0.04297,0.09005,0.03002,0.02148
0.03981,0.01769,0.01864,0.02054,0.04487,0.00916,0.01485,0.01074,0.01485,0.01706,0.01359,0.02275,0.01106,0.00284,0.05529,0.0139,0.01927,0.01074,0.0218,0.0158,0.01169,0.00663,0.0575,0.01295,0.00853,0.0455,0.00316,0.04076,0.02559,0.04961,0.01611,9.48E-04,0.06445,0.02843,0.06066,0.08499,0.03475,0.01327,0.01548,0.0218,0.09763,0.04044,0.09099,0.04392,0.07962,0.1109,0.04518,0.08057,0.03033,0.02306
0.03981,0.01896,0.01832,0.01959,0.04013,0.00695,0.01769,0.00948,0.00979,0.01517,0.01359,0.02117,0.01264,0.00537,0.04423,0.01485,0.01738,0.01359,0.02338,0.01706,0.01137,0.00727,0.05908,0.01106,0.01137,0.04834,9.48E-04,0.04297,0.02717,0.04961,0.0139,0.00316,0.05908,0.03223,0.05655,0.07267,0.0376,0.0158,0.01674,0.01991,0.08057,0.03791,0.1011,0.04297,0.08878,0.10837,0.04202,0.09036,0.03254,0.02591
0.03949,0.01706,0.01832,0.02117,0.04234,0.00916,0.01801,0.01074,0.01517,0.01201,0.01137,0.01991,0.01232,0.00727,0.05182,0.01264,0.01864,0.01327,0.02212,0.01548,0.01137,0.00948,0.05529,0.01169,0.01169,0.04866,0.00316,0.04676,0.0237,0.04423,0.01485,0.00158,0.06509,0.02875,0.05592,0.08057,0.03475,0.01453,0.01833,0.01801,0.09289,0.04139,0.09858,0.04834,0.08847,0.10079,0.04866,0.0872,0.02275,0.02496
0.03855,0.02117,0.02212,0.01959,0.04739,0.01106,0.01801,0.01201,0.01517,0.0139,0.01043,0.02054,0.01201,0.00663,0.04929,0.01201,0.02212,0.01232,0.0237,0.01295,0.01422,0.01201,0.05434,0.01264,0.01106,0.05024,0.00411,0.04771,0.02338,0.0496,0.01232,0.0019,0.06287,0.02844,0.06287,0.07172,0.03444,0.01769,0.01864,0.02054,0.09352,0.04139,0.10774,0.04518,0.09352,0.10142,0.04739,0.07678,0.02938,0.02338
0.03823,0.01927,0.01927,0.02338,0.0455,0.00695,0.02054,0.01359,0.01548,0.01232,0.01485,0.01927,0.01232,0.00537,0.05024,0.01264,0.0158,0.01485,0.02212,0.01801,0.01137,0.01043,0.05656,0.01137,0.00885,0.0455,0.00221,0.04423,0.02085,0.04739,0.01359,-3.16E-04,0.06382,0.0316,0.05877,0.07962,0.04013,0.0139,0.02054,0.01832,0.08278,0.04297,0.10711,0.04329,0.08215,0.09826,0.04423,0.08278,0.03223,0.02022
0.0376,0.01864,0.01927,0.02275,0.04044,0.00821,0.01327,0.01295,0.01043,0.01485,0.0139,0.01864,0.01232,0.00537,0.04897,0.0139,0.01706,0.01327,0.01959,0.01769,0.01011,0.00821,0.05908,0.01043,0.01232,0.04013,0.00569,0.0455,0.02433,0.05403,0.01327,0.00126,0.06508,0.02843,0.06414,0.0752,0.03886,0.01706,0.01769,0.01675,0.08625,0.03633,0.08373,0.04676,0.08341,0.10932,0.04739,0.08783,0.02717,0.02212
0.03728,0.01453,0.01706,0.01864,0.04392,0.00663,0.01959,0.01043,0.01706,0.0139,0.01548,0.02433,0.01422,0.00474,0.04644,0.01422,0.02117,0.0139,0.02022,0.01422,0.01201,0.00695,0.05055,0.01043,0.01201,0.04866,9.48E-04,0.03949,0.02054,0.05055,0.01517,0.0019,0.0654,0.03065,0.06572,0.08499,0.03981,0.01359,0.01896,0.01959,0.0812,0.03949,0.0891,0.0417,0.08404,0.10616,0.04392,0.07646,0.02306,0.02085
0.03286,0.01485,0.01832,0.01991,0.04076,0.01106,0.01959,0.0139,0.01611,0.01738,0.01517,0.01959,0.01295,0.00569,0.05118,0.01169,0.01864,0.01422,0.02338,0.01611,0.00885,0.01011,0.05371,0.01169,0.01011,0.04613,0.00284,0.04329,0.01959,0.04265,0.01516,0.00221,0.05782,0.02907,0.06161,0.08815,0.03886,0.01801,0.0218,0.01991,0.08278,0.03949,0.08752,0.04076,0.0812,0.10521,0.04739,0.08847,0.02749,0.02117
0.0357,0.0158,0.02212,0.02085,0.04044,0.01201,0.01738,0.00885,0.01738,0.01738,0.01611,0.02338,0.0139,0.00853,0.05015,0.01453,0.01611,0.0139,0.02148,0.01611,0.01011,0.01074,0.05118,0.0139,0.01264,0.0455,0.00474,0.04802,0.02054,0.04708,0.01359,0,0.06287,0.03128,0.0594,0.07962,0.04329,0.01517,0.01959,0.01991,0.08341,0.04076,0.08341,0.04076,0.07583,0.09226,0.04676,0.08531,0.02875,0.0237
0.04012,0.01706,0.02212,0.01896,0.04392,0.01137,0.01927,0.0139,0.01295,0.01422,0.01327,0.02085,0.00979,0.00253,0.04992,0.01264,0.01675,0.01232,0.02117,0.01548,0.01264,0.00885,0.0515,0.01169,0.01074,0.05024,0.00506,0.04487,0.02022,0.04739,0.01738,0.00158,0.06161,0.02717,0.06035,0.08088,0.04013,0.01611,0.02085,0.02275,0.09163,0.03949,0.08531,0.04044,0.08594,0.09636,0.04107,0.08973,0.02717,0.02306
0.03634,0.0139,0.02054,0.02306,0.0436,0.01106,0.01106,0.01295,0.01327,0.0139,0.01485,0.02496,0.01264,0.00316,0.04139,0.01106,0.02054,0.01137,0.01832,0.01643,0.01043,0.01011,0.05087,0.01043,0.00916,0.04644,0.00316,0.0455,0.01896,0.0436,0.01517,0.00348,0.06129,0.03191,0.05498,0.08783,0.04234,0.01675,0.01769,0.02085,0.0812,0.03823,0.0793,0.05055,0.08531,0.09984,0.04139,0.08373,0.02686,0.02117
0.03665,0.01896,0.01832,0.01991,0.04202,0.00916,0.0139,0.00979,0.01485,0.01232,0.01295,0.02243,0.01264,0.00853,0.04392,0.01201,0.01927,0.01548,0.02117,0.01548,0.01295,0.01074,0.05024,0.01295,0.01011,0.04708,0.00316,0.04076,0.02306,0.04518,0.01327,0.00474,0.06888,0.02685,0.06287,0.08531,0.03697,0.01801,0.01675,0.01801,0.09036,0.03855,0.08183,0.03918,0.08278,0.11311,0.04329,0.07772,0.03286,0.02338
0.03633,0.01801,0.02085,0.02149,0.04423,0.00948,0.01043,0.01169,0.01201,0.01485,0.01295,0.02559,0.01232,0.00221,0.04392,0.01201,0.01832,0.01485,0.02401,0.01675,0.01516,0.01043,0.04739,0.01106,0.01137,0.04929,0.00506,0.04297,0.02275,0.04708,0.01611,0.00411,0.05877,0.02622,0.05561,0.08531,0.03065,0.01264,0.01738,0.02243,0.07709,0.03855,0.08499,0.04139,0.0831,0.09068,0.04455,0.07456,0.03223,0.01896
0.04076,0.01422,0.01959,0.02148,0.03886,0.00948,0.01548,0.01074,0.01201,0.01201,0.01485,0.02591,0.01485,0.00474,0.04866,0.01359,0.01991,0.01422,0.01927,0.01769,0.01043,0.01327,0.05055,0.01359,0.01453,0.04739,0.00569,0.0455,0.02085,0.04834,0.0139,0.00221,0.06224,0.03191,0.05908,0.08341,0.0357,0.01327,0.01675,0.01991,0.07867,0.03634,0.09099,0.0436,0.08815,0.09605,0.04234,0.0812,0.02591,0.02275
0.03791,0.01769,0.02054,0.02212,0.04265,0.01169,0.01643,0.01169,0.01548,0.01675,0.01548,0.02338,0.01011,0.00632,0.04487,0.01517,0.01864,0.01453,0.02054,0.01611,0.01043,0.01201,0.05276,0.01074,0.01201,0.04644,0.00316,0.04107,0.02464,0.04518,0.01548,0.00253,0.06856,0.02591,0.05687,0.07962,0.0357,0.01769,0.01927,0.01959,0.09447,0.03602,0.0891,0.03791,0.08467,0.09542,0.04234,0.07709,0.02812,0.01959
0.03886,0.02085,0.01738,0.02212,0.04013,0.01327,0.01422,0.01043,0.01485,0.01674,0.01422,0.02464,0.01517,0.00284,0.0496,0.01453,0.01548,0.01517,0.02054,0.01738,0.01327,0.01264,0.05118,0.01106,0.01359,0.0436,0.00537,0.04455,0.02496,0.04613,0.01264,0.0019,0.06066,0.02464,0.06066,0.08278,0.03444,0.01548,0.0158,0.01864,0.07709,0.03823,0.0733,0.03886,0.08783,0.09858,0.03602,0.0872,0.02749,0.02338
0.03855,0.01611,0.02022,0.02306,0.04013,0.01043,0.01485,0.01169,0.0139,0.01327,0.0158,0.02054,0.01043,0.00284,0.04866,0.01106,0.01991,0.01232,0.01801,0.01643,0.01106,0.01232,0.0515,0.01485,0.01011,0.04139,0.0019,0.04866,0.01864,0.04802,0.01643,0.00253,0.05592,0.02464,0.05371,0.07962,0.03381,0.01295,0.01991,0.01991,0.0752,0.04202,0.07425,0.03855,0.08562,0.10268,0.03918,0.07867,0.02938,0.02212
0.03981,0.01674,0.01991,0.02117,0.04487,0.01137,0.01232,0.01264,0.01327,0.01201,0.01485,0.02496,0.01106,0.00506,0.04929,0.0139,0.01927,0.0139,0.0218,0.0139,0.01201,0.01201,0.05497,0.01169,0.00948,0.04487,0.00474,0.04834,0.02212,0.05403,0.01295,0.00253,0.05687,0.02844,0.05813,0.08183,0.03539,0.01738,0.0139,0.01643,0.09068,0.04076,0.07172,0.03918,0.08657,0.10363,0.04423,0.0812,0.02686,0.01959
0.03855,0.01706,0.01959,0.01769,0.03823,0.01264,0.0139,0.01137,0.01201,0.0139,0.01548,0.02243,0.01359,0.00379,0.04645,0.01169,0.01706,0.01643,0.02401,0.01801,0.00853,0.00979,0.05276,0.01043,0.01232,0.04739,0.00284,0.04076,0.02022,0.05213,0.01264,0.00411,0.06003,0.03002,0.04802,0.07899,0.04265,0.01548,0.01832,0.01896,0.07772,0.0357,0.08467,0.04613,0.07046,0.09668,0.03728,0.0872,0.02433,0.0237
0.03855,0.01769,0.01896,0.0199,0.04044,0.01137,0.01548,0.01295,0.01043,0.01264,0.01643,0.02117,0.00885,0.00727,0.04897,0.01675,0.01927,0.01327,0.01864,0.01359,0.01295,0.01074,0.05403,0.01295,0.00979,0.04044,0.00442,0.04202,0.01706,0.04929,0.01359,0.00284,0.05845,0.03065,0.05118,0.09163,0.03254,0.01422,0.02022,0.02212,0.08246,0.04076,0.07993,0.0455,0.07172,0.10047,0.0357,0.08752,0.02559,0.01833
0.04044,0.01706,0.02212,0.02085,0.04234,0.00979,0.01643,0.01137,0.01422,0.0139,0.01485,0.01832,0.01201,0.0079,0.0496,0.01074,0.01896,0.01074,0.02022,0.01675,0.01232,0.01201,0.0515,0.01043,0.01359,0.0436,0.00379,0.04329,0.01927,0.04676,0.0139,0.00126,0.05719,0.02812,0.05497,0.07741,0.03412,0.01769,0.01548,0.02085,0.08594,0.03949,0.08088,0.0455,0.08531,0.09952,0.03855,0.07962,0.02054,0.02338
